book_id	title
1	Harry Potter and the Half-Blood Prince (Harry Potter, #6)
2	Harry Potter and the Order of the Phoenix (Harry Potter, #5)
3	Harry Potter and the Sorcerer's Stone (Harry Potter, #1)
4	Harry Potter and the Chamber of Secrets (Harry Potter, #2)
5	Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)
7	The Harry Potter Collection (Harry Potter, #1-6)
8	Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)
9	Unauthorized Harry Potter Book Seven News: \"Half-Blood Prince\" Analysis and Speculation
10	Harry Potter Collection (Harry Potter, #1-6)
12	The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)
13	The Ultimate Hitchhiker's Guide to the Galaxy
15	The Hitchhiker's Guide to Lean: Lessons from the Road
17	The Hitchhiker's Guide to the Galaxy: Quandary Phase (Hitchhiker's Guide: Radio Play, #4)
18	The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5)
22	Bill Bryson's African Diary
23	Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right
24	In a Sunburned Country
25	I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away
26	The Lost Continent: Travels in Small Town America
27	Neither Here nor There: Travels in Europe
28	Notes from a Small Island
29	The Mother Tongue: English and How It Got That Way
30	J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
31	The Lord of the Rings (The Lord of the Rings, #1-3)
32	The Lord of the Rings (The Lord of the Rings, #1-3)
33	The Lord of the Rings (The Lord of the Rings, #1-3)
34	The Fellowship of the Ring (The Lord of the Rings, #1)
35	The Lord of the Rings (The Lord of the Rings, #1-3)
37	The Lord of the Rings: Complete Visual Companion
38	The Lord of the Rings Box Set
39	The Lord of the Rings
40	Cooking with Fernet Branca (Gerald Samper, #1)
45	Agile Web Development with Rails: A Pragmatic Guide
53	Guts: The True Stories behind Hatchet and the Brian Books
55	Hatchet Jobs: Writings on Contemporary Fiction
58	Changeling (Changeling, #1)
59	The Changeling Sea
63	The Changeling
65	Shadows in the Starlight (Changeling Detective, #2)
66	The Changeling (Daughters of England, #15)
67	The Known World
68	The Known World
69	The Known World
71	Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives
72	Artesia: Adventures in the Known World
73	The Known World
75	Uncommon Carriers
76	Heirs of General Practice
77	The Control of Nature
78	Annals of the Former World
79	Coming into the Country
80	La Place de la Concorde Suisse
81	Giving Good Weight
85	The Heidi Chronicles
86	The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic
87	Pandering
88	Love Your Handwriting
91	Always Enough: God's Miraculous Provision Among the Poorest Children on Earth
93	Heidi
97	The Birthdays
99	The Player's Handbook: The Ultimate Guide on Dating and Relationships
100	Simply Beautiful Beading
101	Chasing Jordan
103	God Emperor of Dune (Dune Chronicles, #4)
104	Dune (Dune Chronicles, #1)
105	Chapterhouse: Dune (Dune Chronicles #6)
106	Dune Messiah (Dune Chronicles #2)
109	Heretics of Dune (Dune Chronicles, #5)
110	The Road to Dune
111	Dios emperador de Dune (Dune Chronicles, #4)
112	Children of Dune (Dune Chronicles #3)
113	Dune (Dune Chronicles, #1)
117	Heretics of Dune (Dune Chronicles #5)
119	The Lord of the Rings: The Art of The Fellowship of the Ring
122	The Power of One (The Power of One, #1)
123	The Power of One (The Power of One, #1)
126	The Power of One (The Power of One, #1)
129	The Power of One : One Person, One Rule, One Month
130	The Power of an Hour: Business and Life Mastery in One Hour a Week
133	eBay for Dummies
136	Titanium eBay: A Tactical Guide to Becoming a Millionaire PowerSeller
137	Starting an eBay Business for Dummies
141	Ruby Cookbook
144	Ruby Ann's Down Home Trailer Park BBQin' Cookbook
151	Anna Karenina
152	Anna Karenina
153	Anna Karenina
154	CliffsNotes on Tolstoy's Anna Karenina
155	Anna Karenina
156	Anna Karenina
157	Anna Karenina
158	Anna Karenina
159	Dinner with Anna Karenina
160	Tolstoy: Anna Karenina
161	The Dream Life of Sukhanov
163	The Untouchable
164	The Untouchables
165	Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India
168	Growing Up Untouchable in India: A Dalit Autobiography
180	Wrinkles in Time
190	A Wrinkle in Time (A Wrinkle in Time Quintet, #1)
194	A Wrinkle in Time (A Wrinkle in Time Quintet, #1)
202	The Long Shadow of Little Rock: A Memoir
204	The Long Shadow (The Morland Dynasty, #6)
205	A Long Shadow (Inspector Ian Rutledge, #8)
207	Long Way Round: Chasing Shadows Across the World
208	A Shadow in Summer (Long Price Quartet, #1)
215	The Way We Die Now
216	Miami Blues
217	Charles Willeford Omnibus: Pick Up/Burnt Orange Heresy/Cockfighter
218	The Woman Chaser
219	The Machine in Ward Eleven
221	Wild Wives
222	The Shark-Infested Custard
224	The Black Mass of Brother Springer
228	Cockfighter
229	Sideswipe
230	The Burnt Orange Heresy
234	The Complete Verse and Other Nonsense
236	The Complete Nonsense of Edward Lear
241	A Was Once an Apple Pie
244	The Puffin Book Of Nonsense Verse
245	Henry Miller on Writing
247	Quiet Days in Clichy
248	Big Sur and the Oranges of Hieronymus Bosch
250	Tropic of Capricorn
251	Nexus (The Rosy Crucifixion, #3)
252	Sexus (The Rosy Crucifixion, #1)
253	The Air-Conditioned Nightmare
254	The Time of the Assassins:  a Study of Rimbaud
262	Pike Place Public Market Seafood Cookbook
268	The Portrait of a Lady
269	The Portrait of a Lady
270	The Portrait of a Lady
272	Portrait of a Lady
274	The Portrait of a Lady
275	The Lover
277	Writing
278	The War
281	Destroy, She Said
282	L'Amour
283	L'Amant de la Chine du Nord
284	A Treasury of Kahlil Gibran
285	Love Letters
288	Kahlil Gibran: His Life and World
289	The Beloved: Reflections on the Path of the Heart
290	Jesus the Son of Man
291	The Broken Wings
292	Sand and Foam
295	Treasure Island
296	Treasure Island
297	Treasure Island
298	Treasure Island
301	Treasure Island
302	Treasure Island
304	Daniel Deronda
312	Flight: 100 Years of Aviation
320	One Hundred Years of Solitude
321	Cliffs Notes on Garcia Marquez' 100 Hundred Years of Solitude
322	Cien años de soledad
323	Masterwork Studies Series: 100 Years of Solitude
325	Cien años de soledad
327	Why Zebras Don't Get Ulcers
328	Chess for Zebras
329	What If the Zebras Lost Their Stripes?
330	On Beyond Zebra!
332	The Wedding Clause
334	\"A\" Is for Zebra
337	El perfume: historia de un asesino
338	Jitterbug Perfume
